==12358== NVPROF is profiling process 12358, command: python resnet.py resnet50
==12358== Profiling application: python resnet.py resnet50
==12358== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
2.128027,0.095712,,,,,,,,,,0.574219,5.858832,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.562775,0.007104,,,,,,,,,,0.035889,4.933493,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.562807,0.000864,,,,,,,,,,0.000244,0.275947,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.562822,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.562837,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.562850,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.562881,0.003520,,,,,,,,,,0.015625,4.334883,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.562898,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.562911,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.562925,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.562939,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563013,0.024992,,,,,,,,,,0.140625,5.494922,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563045,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563058,0.000928,,,,,,,,,,0.000244,0.256917,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563071,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563083,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563112,0.011776,,,,,,,,,,0.062500,5.183013,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563129,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563143,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563157,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563169,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563202,0.011808,,,,,,,,,,0.062500,5.168966,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563220,0.000928,,,,,,,,,,0.000977,1.027666,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563234,0.000992,,,,,,,,,,0.000977,0.961365,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563248,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563260,0.000928,,,,,,,,,,0.000977,1.027666,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563292,0.011808,,,,,,,,,,0.062500,5.168966,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563309,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563322,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563335,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563347,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563878,0.025216,,,,,,,,,,0.140625,5.446110,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563910,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563923,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563937,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563950,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563976,0.011776,,,,,,,,,,0.062500,5.183013,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.563994,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.564007,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.564020,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.564032,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.564069,0.011808,,,,,,,,,,0.062500,5.168966,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.564086,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.564099,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3.564112,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
