==12389== NVPROF is profiling process 12389, command: python resnet.py resnet152
==12389== Profiling application: python resnet.py resnet152
==12389== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
5.685249,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685261,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685288,0.011808,,,,,,,,,,0.062500,5.168966,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685305,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685318,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685331,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685343,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685387,0.022176,,,,,,,,,,0.125000,5.504614,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685416,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685428,0.000832,,,,,,,,,,0.000488,0.573122,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685441,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685453,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.685966,0.092768,,,,,,,,,,0.562500,5.921400,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686066,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686079,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686092,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686104,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686158,0.042624,,,,,,,,,,0.250000,5.727774,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686208,0.001152,,,,,,,,,,0.001953,1.655685,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686220,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686233,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686245,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686717,0.107264,,,,,,,,,,0.500000,4.552145,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686832,0.001408,,,,,,,,,,0.001953,1.354651,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686845,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686859,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686872,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686929,0.042400,,,,,,,,,,0.250000,5.758034,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686978,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.686991,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687003,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687015,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687443,0.092704,,,,,,,,,,0.562500,5.925488,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687543,0.001344,,,,,,,,,,0.000488,0.354790,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687557,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687570,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687582,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687662,0.042368,,,,,,,,,,0.250000,5.762383,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687711,0.001152,,,,,,,,,,0.001953,1.655685,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687724,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687737,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687750,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687809,0.042368,,,,,,,,,,0.250000,5.762383,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687858,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687870,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687884,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.687896,0.000832,,,,,,,,,,0.000488,0.573122,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688382,0.114752,,,,,,,,,,0.562500,4.786988,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688504,0.001056,,,,,,,,,,0.000488,0.451550,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
