==12373== NVPROF is profiling process 12373, command: python resnet.py resnet101
==12373== Profiling application: python resnet.py resnet101
==12373== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
2.137370,0.095136,,,,,,,,,,0.574219,5.894304,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745378,0.007072,,,,,,,,,,0.035889,4.955816,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745410,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745425,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745438,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745451,0.000864,,,,,,,,,,0.000244,0.275947,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745481,0.003520,,,,,,,,,,0.015625,4.334883,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745497,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745509,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745523,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745537,0.000864,,,,,,,,,,0.000244,0.275947,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745584,0.024992,,,,,,,,,,0.140625,5.494922,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745616,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745629,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745642,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745654,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745682,0.011776,,,,,,,,,,0.062500,5.183013,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745699,0.000928,,,,,,,,,,0.000977,1.027666,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745712,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745725,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745738,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745772,0.011808,,,,,,,,,,0.062500,5.168966,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745790,0.000928,,,,,,,,,,0.000977,1.027666,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745804,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745817,0.000992,,,,,,,,,,0.000977,0.961365,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745829,0.000928,,,,,,,,,,0.000977,1.027666,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745861,0.011776,,,,,,,,,,0.062500,5.183013,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745879,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745892,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745905,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.745917,0.000992,,,,,,,,,,0.000244,0.240341,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746445,0.025088,,,,,,,,,,0.140625,5.473896,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746477,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746490,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746504,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746516,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746542,0.011808,,,,,,,,,,0.062500,5.168966,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746560,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746573,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746586,0.000928,,,,,,,,,,0.000977,1.027666,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746598,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746629,0.011776,,,,,,,,,,0.062500,5.183013,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746647,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746660,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746672,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746684,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4.746724,0.024864,,,,,,,,,,0.140625,5.523210,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
