resnet152squeezenet1_1densenet121resnet34	total: 100	success: 26	avg iter: 41.439998626708984
densenet169 resnet34 densenet201 vgg11		total: 100	success: 34	avg iter: 37.220001220703125
resnet101 vgg13 resnet34 vgg11		total: 100	success: 29	avg iter: 39.95000076293945
vgg16 squeezenet1_1 vgg11 densenet121		total: 100	success: 11	avg iter: 45.560001373291016
resnet152 vgg16 squeezenet1_1 densenet169		total: 100	success: 11	avg iter: 45.790000915527344
vgg19 resnet152 densenet121 resnet34		total: 100	success: 27	avg iter: 40.93000030517578
vgg11 resnet34 densenet169 resnet50		total: 100	success: 34	avg iter: 38.02000045776367
vgg19 densenet169 resnet34 resnet50		total: 100	success: 33	avg iter: 39.36000061035156
squeezenet1_0 resnet152 vgg16 squeezenet1_1		total: 100	success: 12	avg iter: 45.58000183105469
densenet121 resnet101 vgg13 vgg11		total: 100	success: 17	avg iter: 44.5
resnet34 resnet152 resnet50 densenet169		total: 100	success: 34	avg iter: 39.31999969482422
vgg16 vgg13 densenet161 resnet152		total: 100	success: 13	avg iter: 45.779998779296875
resnet34 vgg11 squeezenet1_1 squeezenet1_0		total: 100	success: 28	avg iter: 39.959999084472656
densenet161 densenet169 vgg19 resnet50		total: 100	success: 18	avg iter: 44.15999984741211
densenet169 resnet152 vgg11 alexnet		total: 100	success: 14	avg iter: 44.72999954223633
resnet50 resnet152 squeezenet1_1 vgg16		total: 100	success: 18	avg iter: 44.060001373291016
densenet169 squeezenet1_1 vgg11 vgg19		total: 100	success: 14	avg iter: 45.09000015258789
vgg11 vgg19 resnet50 resnet152		total: 100	success: 26	avg iter: 41.61000061035156
densenet201 densenet121 resnet50 vgg11		total: 100	success: 23	avg iter: 42.43000030517578
vgg11 vgg16 densenet169 squeezenet1_1		total: 100	success: 13	avg iter: 44.880001068115234
densenet169 resnet101 vgg16 vgg19		total: 100	success: 16	avg iter: 44.0099983215332
vgg19 squeezenet1_0 squeezenet1_1 resnet101		total: 100	success: 14	avg iter: 44.84000015258789
resnet152 vgg13 resnet101 squeezenet1_0		total: 100	success: 16	avg iter: 45.209999084472656
densenet201 vgg19 densenet121 resnet34		total: 100	success: 29	avg iter: 40.18000030517578
densenet161 vgg11 vgg19 resnet101		total: 100	success: 19	avg iter: 43.54999923706055
vgg19 densenet161 vgg16 squeezenet1_1		total: 100	success: 9	avg iter: 46.369998931884766
vgg16 squeezenet1_0 resnet50 resnet101		total: 100	success: 19	avg iter: 43.31999969482422
vgg19 densenet201 squeezenet1_0 vgg11		total: 100	success: 22	avg iter: 42.31999969482422
resnet152 squeezenet1_1 densenet121 vgg13		total: 100	success: 9	avg iter: 46.709999084472656
resnet50 alexnet resnet34 squeezenet1_1		total: 100	success: 19	avg iter: 44.45000076293945
resnet34 vgg19 vgg16 resnet101		total: 100	success: 29	avg iter: 40.060001373291016
resnet34 vgg19 vgg13 alexnet		total: 100	success: 16	avg iter: 44.38999938964844
